id,mssubclass,lotshape,landcontour,landslope,bldgtype,housestyle,overallqual,overallcond,lotfrontage,lotarea,garagearea,grlivarea,totalbsmtsf,saleprice,lotfrontage_std,lotarea_std,garagearea_std,grlivarea_std,totalbsmtsf_std,saleprice_std
359,SPLIT OR MULTI-LEVEL,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Split Level,5,4,92,6930,288,1352,1062,130000,89.1154756277299,-0.3593560642355199,-0.8651821714085732,-0.31107478754062146,0.010418264129428938,-0.6409817672219927
360,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,8,5,78,12011,592,1924,1086,280000,75.1154756277299,0.1496976513428811,0.5566752474108525,0.7774530015915795,0.06512468928980376,1.2471762660304149
363,SPLIT FOYER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Split Foyer,7,5,64,7301,672,1922,0,198500,61.11547562772989,-0.32218642666819325,0.930848252363333,0.7736469603708375,-2.410341049217157,0.22127706796327334
364,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse Inside Unit,Two story,6,8,21,1680,264,987,483,118000,18.11547562772989,-0.8853415015090104,-0.9774340728943174,-1.0056773103260295,-1.3093742428646136,-0.7920344098821853
366,2-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,5,7,59,10690,468,1344,672,147000,56.11547562772989,0.017349696554637098,-0.02329291026549219,-0.3262989524235893,-0.8785611447266619,-0.42699052345338656
368,SPLIT OR MULTI-LEVEL,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Split Level,6,5,101,9150,296,1431,1099,165000,98.1154756277299,-0.1369393650455868,-0.8277648709133252,-0.160736159321314,0.09475733625167346,-0.20041155946309766
369,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,6,78,7800,244,1268,1268,132000,75.1154756277299,-0.2721927632016272,-1.0709773241324374,-0.4709285188117838,0.4799817467559795,-0.6158063267786273
372,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,4,4,80,17120,680,1588,0,134432,77.1154756277299,0.6615566225867406,0.9682655528585811,0.13803807650692998,-2.410341049217157,-0.585192991199495
373,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,6,5,50,7175,264,752,744,125000,47.11547562772989,-0.334810077162757,-0.9774340728943174,-1.4528871537632098,-0.7144418692455374,-0.7039203683304064
374,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,6,79,10634,270,1319,608,123000,76.1154756277299,0.011739185223719865,-0.9493710975228813,-0.3738744676828638,-1.024444945154328,-0.7290958087737718
375,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,7,5,65,8200,434,1928,847,219500,62.11547562772989,-0.23211768226650412,-0.18231643737029637,0.7850650840330634,-0.47966012793226215,0.4856191926186104
377,SPLIT FOYER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Split Foyer,5,5,57,8846,576,914,870,148000,54.11547562772989,-0.16739642655628031,0.4818406464203564,-1.144597814883111,-0.42723313715356964,-0.41440280323170386
378,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,8,5,102,11143,610,2466,1580,340000,99.1154756277299,0.062734725713664,0.6408641735251607,1.808890172412651,1.191165273840852,2.002439479331378
379,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,9,2,88,11394,834,1856,1856,394432,85.1154756277299,0.08788183900045372,1.688548587392106,0.6480476000863528,1.8202891631851625,2.6876142664380116
380,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,6,5,60,8123,463,1800,982,179000,57.11547562772989,-0.2398321353465153,-0.04667872307502222,0.5414784459055779,-0.1719364864051538,-0.024183476359539633
381,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,5,6,50,5000,308,1691,1026,127000,47.11547562772989,-0.5527183297474888,-0.7716389201704531,0.334049199375141,-0.07164137361113329,-0.6787449278870409
382,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,7,5,60,7200,572,1301,1293,187750,57.11547562772989,-0.3323053846043118,0.46313199617273243,-0.40812883866954147,0.5369676062980365,0.08595907558018415
383,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,7,5,79,9245,639,1797,939,213500,76.1154756277299,-0.12742153332349504,0.7765018878204348,0.535769384074465,-0.269952164817492,0.4100928712885141
384,1-1/2 STORY - UNFINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level unfinished,6,3,60,9000,360,784,784,76000,57.11547562772989,-0.15196752039625794,-0.5284264669513408,-1.3919904942313384,-0.623264493978246,-1.3207186591928595
386,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,8,5,43,3182,430,1269,1256,192000,40.11547562772989,-0.7348595725976232,-0.2010250876179204,-0.46902549820141287,0.4526285341757921,0.13945688652233568
387,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,5,3,58,8410,0,1184,658,81000,55.11547562772989,-0.2110782647755645,-2.212204989237503,-0.6307822500829462,-0.9104732260702139,-1.2577800580844458
388,SPLIT OR MULTI-LEVEL,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Split Level,6,6,72,7200,352,1125,1041,125000,69.1154756277299,-0.3323053846043118,-0.5658437674465888,-0.7430604660948341,-0.03744985788589903,-0.7039203683304064
389,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,7,5,93,9382,577,1479,1468,191000,90.1154756277299,-0.11369581810321538,0.48651780898226243,-0.06939117002350692,0.9358686230924363,0.12686916630065298
390,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,10,5,96,12474,846,2332,1682,426000,93.1154756277299,0.19608455752528606,1.744674538134978,1.5538854106229396,1.423667580772445,3.0849834183960914
391,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,5,8,50,8405,384,1367,861,119000,47.11547562772989,-0.21157920328725352,-0.41617456546559667,-0.28252947838505676,-0.4477480465887102,-0.7794466896605027
392,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,6,5,71,12209,560,1961,804,215000,68.1154756277299,0.169534816405767,0.40700604542986035,0.8478647641753058,-0.5776758063446004,0.4289744516210382
395,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,5,6,60,10134,240,1034,735,109000,57.11547562772989,-0.03835466594518399,-1.0896859743800615,-0.9162353416385933,-0.734956778680678,-0.9053238918773299
396,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,6,68,9571,596,1144,1144,129000,65.1154756277299,-0.09476034236136974,0.5753838976584765,-0.7069030744977854,0.19733188342737623,-0.6535694874436755
397,1-STORY 1946 & NEWER ALL STYLES,Regular,Depression,Gentle slope,Single-family Detached,One story,5,5,60,7200,600,894,894,123000,57.11547562772989,-0.3323053846043118,0.5940925479061006,-1.1826582270905306,-0.3725267119931948,-0.7290958087737718
398,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,5,5,69,7590,264,1812,864,169500,66.1154756277299,-0.2932321806925668,-0.9774340728943174,0.5643146932300296,-0.44090974344366335,-0.14376681846552544
399,1-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,2,60,8967,338,1077,961,67000,57.11547562772989,-0.15527371457340558,-0.631324043313273,-0.8344054553926411,-0.21980460842048177,-1.434008141188004
400,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,7,5,65,8125,438,1550,1092,241000,62.11547562772989,-0.2396317599418397,-0.16360778712267238,0.0657232933128327,0.07880129557989746,0.7562551773847889
401,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Moderately Irregular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,8,5,38,14963,500,1288,1260,245500,35.11547562772989,0.44545174864408943,0.1263762917155,-0.4328681066043642,0.4617462717025212,0.8128999183823611
402,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,7,5,65,8767,400,1310,1310,164990,62.11547562772989,-0.17531125504096715,-0.34133996447510057,-0.39100165317620267,0.5757179907866354,-0.2005374366653145
403,1-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,8,60,10200,240,672,672,108000,57.11547562772989,-0.031742277590888685,-1.0896859743800615,-1.6051288025928883,-0.8785611447266619,-0.9179116120990125
404,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,8,5,93,12090,420,2263,1141,258000,90.1154756277299,0.1576124798275679,-0.24779671323698046,1.4225769885073418,0.19049358028232938,0.970246421153395
407,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,6,5,51,10480,240,1639,1064,115000,48.11547562772989,-0.0036897209363025226,-1.0896859743800615,0.23509212763585,0.014977132892793506,-0.8297975705472336
408,2-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,6,7,63,15576,308,1680,840,177000,60.11547562772989,0.5068668101771656,-0.7716389201704531,0.31311597266106017,-0.4956161686040381,-0.049358916802905065
409,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,7,5,109,14154,947,2172,1063,280000,106.1154756277299,0.364399897452803,2.2170679568874845,1.2494021129635826,0.012697698511111221,1.2471762660304149
410,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,8,5,85,10800,836,2078,1034,339750,82.1154756277299,0.028370343811795946,1.697902912515918,1.0705181755887105,-0.05340589855767502,1.9992925492759572
411,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,3,68,9571,350,1276,1276,60000,65.1154756277299,-0.09476034236136974,-0.5751980925704009,-0.455704353928816,0.4982172218094377,-1.522122182739783
452,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Depression,Moderate Slope,Single-family Detached,One story,7,5,62,70761,576,1533,1533,280000,59.11547562772989,6.035725163689085,0.4818406464203564,0.03337194293652604,1.0840318579017847,1.2471762660304149
412,2 FAMILY CONVERSION - ALL STYLES AND AGES,Regular,Banked - Quick and significant rise from street grade to building,Gentle slope,Two-family Conversion; originally built as one-family dwelling,One story,5,5,100,34650,572,1056,1056,145000,97.1154756277299,2.4178470445685103,0.46313199617273243,-0.8743688882104317,-0.003258342160664767,-0.452165963896752
414,1-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,6,56,8960,360,1028,1008,115000,53.11547562772989,-0.15597502848977024,-0.5284264669513408,-0.9276534653008192,-0.11267119248141441,-0.8297975705472336
415,2-STORY 1946 & NEWER,Moderately Irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,7,5,59,11228,678,2097,1080,228000,56.11547562772989,0.07125068041237764,0.958911227734769,1.106675567185759,0.05144808299971005,0.5926148145029135
416,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,7,5,73,8899,396,1340,1340,181134,70.1154756277299,-0.16208647833237652,-0.3600486147227246,-0.33391103486507323,0.644101022237104,0.002678718593531285
417,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,6,7,74,7844,440,1400,672,149500,71.1154756277299,-0.26778450429876366,-0.15425346199886036,-0.21972979824281438,-0.8785611447266619,-0.3955212228991798
418,2-STORY 1945 & OLDER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,6,6,86,22420,864,2624,1370,239000,83.1154756277299,1.1925514449771215,1.828863464249286,2.109567428851266,0.7124840536875725,0.7310797369414234
419,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,5,6,60,8160,240,1134,756,126000,57.11547562772989,-0.23612519036001642,-1.0896859743800615,-0.7259332806014952,-0.68708865666535,-0.6913326481087236
420,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,6,65,8450,304,1056,1056,142000,62.11547562772989,-0.2070707566820522,-0.7903475704180771,-0.8743688882104317,-0.003258342160664767,-0.48992912456180016
421,DUPLEX - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Duplex,Split Foyer,7,5,78,7060,784,1344,1344,206300,75.1154756277299,-0.3463316629316049,1.4546904592968055,-0.3262989524235893,0.653218759763833,0.31946128569239857
423,1-STORY 1946 & NEWER ALL STYLES,Regular,Hillside - Significant slope from side to side,Moderate Slope,Single-family Detached,One story,5,5,100,21750,520,988,988,113000,97.1154756277299,1.1254256844107904,0.2199195429536201,-1.0037742897156585,-0.1582598801150601,-0.854973010990599
424,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,8,5,80,9200,696,2630,1470,315000,77.1154756277299,-0.1319299799286964,1.0431001538490772,2.120985552513492,0.9404274918558009,1.68774647378931
425,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,6,5,72,9000,297,1196,1196,139000,69.1154756277299,-0.15196752039625794,-0.8230877083514192,-0.6079460027584944,0.315862471274855,-0.5276922852268483
426,2-STORY 1946 & NEWER,Regular,Hillside - Significant slope from side to side,Gentle slope,Single-family Detached,Two story,7,8,60,3378,240,1389,651,135000,57.11547562772989,-0.7152227829394129,-1.0896859743800615,-0.24066302495689518,-0.9264292667419899,-0.5780431661135792
506,DUPLEX - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Duplex,Two story,5,5,60,7596,400,1960,960,124500,57.11547562772989,-0.29263105447854,-0.34133996447510057,0.8459617435649348,-0.22208404280216404,-0.7102142284412477
428,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,4,6,77,8593,352,907,907,109008,74.1154756277299,-0.19274391524774567,-0.5658437674465888,-1.1579189591557077,-0.3428940650313251,-0.9052231901155564
429,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,7,5,64,6762,628,1208,1208,195400,61.11547562772989,-0.3761875982282716,0.7250530996394687,-0.5851097554340426,0.3432156838550424,0.18225513527605694
430,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,6,5,130,11457,576,1412,1392,175000,127.1154756277299,0.0941936642477356,0.4818406464203564,-0.1968935509183626,0.7626316100845827,-0.0745343572462705
431,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse Inside Unit,Two story,6,5,21,1680,264,987,483,85400,18.11547562772989,-0.8853415015090104,-0.9774340728943174,-1.0056773103260295,-1.3093742428646136,-1.2023940891090419
432,1-1/2 STORY FINISHED ALL AGES,Slightly irregular,Banked - Quick and significant rise from street grade to building,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,6,7,60,5586,0,1198,901,79900,57.11547562772989,-0.4940083361775335,-2.212204989237503,-0.6041399615377525,-0.3565706713214188,-1.2716265503282969
433,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,Two story,5,5,24,1920,440,1365,765,122500,21.11547562772989,-0.8612964529479366,-0.15425346199886036,-0.2863355196057987,-0.6665737472302095,-0.7353896688846131
434,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,6,5,100,10839,470,1604,926,181000,97.1154756277299,0.032277664202970444,-0.013938585141680181,0.16848640627286565,-0.2995848117793617,0.000991964083825801
435,PUD - MULTILEVEL - INCL SPLIT LEV/FOYER,Regular,Near Flat/Level,Gentle slope,Townhouse Inside Unit,Split Foyer,4,7,21,1890,0,630,630,81000,18.11547562772989,-0.8643020840180707,-2.212204989237503,-1.6850556682284694,-0.9742973887573179,-1.2577800580844458
436,2-STORY 1946 & NEWER,Moderately Irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,7,6,43,10667,550,1661,799,212000,40.11547562772989,0.015045379400867519,0.3602344198108003,0.27695858106401156,-0.5890729782530117,0.39121129095599005
437,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,6,8,40,4400,440,1118,648,116000,37.11547562772989,-0.6128309511501734,-0.15425346199886036,-0.7563816103674309,-0.9332675698870367,-0.8172098503255508
438,1-1/2 STORY - UNFINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level unfinished,6,7,50,6000,180,904,884,119000,47.11547562772989,-0.4525306274096811,-1.3703157280944218,-1.1636280209868208,-0.39532105581001764,-0.7794466896605027
439,1-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,6,40,4280,352,694,440,90350,37.11547562772989,-0.6248534754307103,-0.5658437674465888,-1.5632623491647266,-1.4073899212769518,-1.1400848740117124
440,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,6,8,67,12354,528,1196,684,110000,64.1154756277299,0.18406203324474912,0.25733684344886815,-0.6079460027584944,-0.8512079321464745,-0.8927361716556471
441,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,10,5,105,15431,672,2402,3094,555000,102.1154756277299,0.49233959333818345,0.930848252363333,1.6870968533489081,4.64222892770783,4.708799326993162
442,DUPLEX - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Duplex,One story,4,4,92,12108,0,1440,1440,118000,89.1154756277299,0.15941585846964842,-2.212204989237503,-0.14360897382797516,0.8720444604053323,-0.7920344098821853
443,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,5,7,52,6240,360,1573,1078,162900,49.11547562772989,-0.4284855788486072,-0.5284264669513408,0.10949276735136526,0.04688921423634548,-0.22684577192863137
477,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Moderate Slope,Single-family Detached,One story,6,5,75,13125,508,1493,1478,208900,72.1154756277299,0.26130675174719886,0.16379359221074805,-0.04274888147831319,0.9586629669092591,0.3521893582687736
444,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,7,5,53,3922,648,1258,1258,172500,50.11547562772989,-0.6607206728676455,0.8185963508775889,-0.48995872491549364,0.4571874029391566,-0.1060036578004773
445,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,7,5,70,8750,493,1908,915,210000,67.1154756277299,-0.17701444598070987,0.09363615378215795,0.7470046718256438,-0.32465858997786684,0.3660358505126246
446,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,6,5,73,9855,480,1689,1436,127500,70.1154756277299,-0.06630703489743234,0.03283304047737988,0.33024315815439903,0.8629267228786032,-0.6724510677761996
447,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,6,6,137,16492,578,1888,1517,190000,134.1154756277299,0.5986387455185974,0.4911949715441684,0.7089442596182242,1.0475609077948682,0.11428144607897026
449,1-1/2 STORY FINISHED ALL AGES,Regular,Banked - Quick and significant rise from street grade to building,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,6,6,50,8600,198,1376,780,119500,47.11547562772989,-0.192042601331381,-1.2861268019801138,-0.2654022928917179,-0.6323822315049752,-0.7731528295496612
450,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,3,7,50,6000,308,1183,649,120000,47.11547562772989,-0.4525306274096811,-0.7716389201704531,-0.6326852706933171,-0.9309881355053544,-0.7668589694388199
451,1-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,6,8,70,5684,270,813,813,110000,67.1154756277299,-0.4841899413484283,-0.9493710975228813,-1.33680289653058,-0.5571608969094598,-0.8927361716556471
454,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,8,5,75,9000,676,1590,768,210000,72.1154756277299,-0.15196752039625794,0.949556902610957,0.14184411772767194,-0.6597354440851626,0.3660358505126246
455,DUPLEX - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Duplex,One story,5,5,63,9297,560,1728,1728,188000,60.11547562772989,-0.12221177280192905,0.40700604542986035,0.40446096195886727,1.5285215623298303,0.08910600563560482
456,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,7,6,80,9600,528,1242,1242,175500,77.1154756277299,-0.09185489899357331,0.25733684344886815,-0.5204070546814293,0.4207164528322401,-0.06824049713542914
457,2-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,5,5,34,4571,513,1344,624,98000,31.11547562772989,-0.5956988540504083,0.18717940502027808,-0.3262989524235893,-0.9879739950474116,-1.0437888143158398
461,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,8,5,75,8004,552,1935,832,263435,72.1154756277299,-0.2517544719247144,0.3695887449346123,0.7983862283056603,-0.5138516436574965,1.0386606805582406
462,2-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,7,9,60,7200,576,1135,560,155000,57.11547562772989,-0.3323053846043118,0.4818406464203564,-0.7240302599911242,-1.1338577954750777,-0.3262887616799248
463,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,5,60,8281,360,864,864,62383,57.11547562772989,-0.22400247837714168,-0.5284264669513408,-1.23974884540166,-0.44090974344366335,-1.492125645451513
464,2-STORY 1945 & OLDER,Slightly irregular,Hillside - Significant slope from side to side,Moderate Slope,Single-family Detached,Two story,6,7,74,11988,240,1660,715,188700,71.1154756277299,0.14739333418911152,-1.0896859743800615,0.2750555604536406,-0.7805454663143236,0.09791740979078273
465,1-STORY 1946 & NEWER ALL STYLES,Regular,Hillside - Significant slope from side to side,Moderate Slope,Single-family Detached,One story,5,5,60,8430,0,1040,1040,124000,57.11547562772989,-0.20907451072880834,-2.212204989237503,-0.9048172179763674,-0.03972929226758131,-0.716508088552089
467,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,7,5,85,10628,526,1277,1277,167000,82.1154756277299,0.01113805900969302,0.24798251832505613,-0.453801333318445,0.50049665619112,-0.17523611901973224
468,2-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,5,7,79,9480,312,1644,728,146500,76.1154756277299,-0.10387742327411023,-0.7529302699228291,0.2446072306877049,-0.750912819352454,-0.43328438356422794
469,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,8,5,98,11428,866,1634,1626,250000,95.1154756277299,0.0912882208799392,1.838217789373098,0.2255770245839951,1.2960192553982373,0.8695446593799333
470,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,6,5,76,9291,506,1710,832,187000,73.1154756277299,-0.12281289901595589,0.15443926708693603,0.3702065909721896,-0.5138516436574965,0.07651828541392211
472,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,7,6,92,11952,534,1969,808,190000,89.1154756277299,0.14378657690495042,0.2853998188203042,0.8630889290582736,-0.5685580688178712,0.11428144607897026
473,PUD - MULTILEVEL - INCL SPLIT LEV/FOYER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,Split Level,6,5,35,3675,525,1072,547,148000,32.11547562772989,-0.685467035345084,0.24330535576315013,-0.8439205584444961,-1.1634904424369474,-0.41440280323170386
474,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,8,5,110,14977,908,1976,1976,440000,107.1154756277299,0.44685437647681875,2.03465861697315,0.8764100733308705,2.0938212889870367,3.2612115014996497
475,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,8,5,41,5330,499,1652,1494,251000,38.11547562772989,-0.5196563879760122,0.12169912915359399,0.25983139557067275,0.9951339170161757,0.882132379601616
476,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,5,6,80,8480,624,970,970,132500,77.1154756277299,-0.20406512561191795,0.7063444493918447,-1.0380286607023361,-0.1992896989853412,-0.609512466667786
478,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,9,5,105,13693,694,2643,2153,380000,102.1154756277299,0.31821336667507366,1.033745828725265,2.1457248204483146,2.497281174544801,2.5059482881986863
479,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,8,5,79,10637,826,1718,1705,297000,76.1154756277299,0.01203974833073329,1.651131286896858,0.38543075585515746,1.4760945715511375,1.4611675097990209
480,1-STORY 1945 & OLDER,Regular,Banked - Quick and significant rise from street grade to building,Gentle slope,Single-family Detached,One story,4,7,50,5925,672,1131,907,89471,47.11547562772989,-0.46004470508501666,0.930848252363333,-0.7316423424326082,-0.3428940650313251,-1.1511494800865716
481,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,9,5,98,16033,772,1850,1833,326000,95.1154756277299,0.5526525901455437,1.3985645085539335,0.6366294764241269,1.76786217240647,1.8262113962278197
482,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Hillside - Significant slope from side to side,Gentle slope,Single-family Detached,One story,9,5,72,11846,874,1792,1792,374000,69.1154756277299,0.1331666804571428,1.875635089868346,0.5262542810226101,1.6744053627574964,2.43042196686859
483,2-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,7,8,50,2500,164,1826,910,155000,47.11547562772989,-0.8031875855920081,-1.445150329084918,0.5909569817752234,-0.3360557618862782,-0.3262887616799248
484,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse Inside Unit,One story,6,5,32,4500,402,1216,1216,164000,29.11547562772989,-0.6028121809163927,-0.33198563935128855,-0.5698855905510748,0.3614511589085007,-0.21299927968478038
